Job Name,Comapny Name,Location,Job Title,Description,Link
Senior User Interface Designer,Serv5,"Al Manşūrah, Ad Daqahliyah, Egypt",51-200 employees,"نصائح: قدم ملخصًا للوظيفة وكيف يبدو النجاح في منصبك، وكيف تتناسب هذه الوظيفة مع المنظمة بشكل عام.
المسؤوليات[كن محددًا عند وصف كل مسؤولية من المسؤوليات. استخدم لغة محايدة الجنس وشاملة للجميع.]مثال: تحديد متطلبات المستخدم للنظم في الإنتاج وتطويرها، لضمان أقصى قدر من قابلية الاستخدام
المؤهلات[بعض المؤهلات التي قد ترغب في تضمينها هي المهارات أو التعليم أو الخبرة أو الشهادات.]مثال: مهارات تواصل لفظية ومكتوبة ممتازة",https://www.linkedin.com/jobs/view/3477157236/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=hlGrGBhe%2BlhfdXvSVYJGEA%3D%3D&trk=d_flagship3_search_srp_jobs
Senior Data Engineer,Emirates NBD,"Cairo, Egypt",Full-time · Mid-Senior level,"Job location is in Dubai, United Arab Emirates
The Data Engineer uses technologies to acquire, ingest and transform big data. They prepare data and conduct feature engineering to be used in machine learning models to support use case execution with a view of achieving overall objectives and targets. The role is highly collaborative and works with product owners, business translator and data science teams in building high performance, secure and scalable data pipelines to support data science projects and use case. The role supports data scientists and Analytics Delivery lead in communicating the design, functioning and output of the analytical models/solutions developed.
Roles & Responsibilities: Work with analytics delivery lead and Lead Data Engineer to understand the business needs and build impactful analytics solutions.Contribute to cross-functional problem-solving sessions with your squad (data scientists specially) and provide tangible solutions using your expertise in data engineering and domain data knowledge.Data onboarding and access process – work with business analysts and analytics delivery lead to manage stakeholders that are affected by changes.Use state of the art technologies to acquire, ingest and transform big datasets.Design and build high-performance, secure, and scalable data pipelines to support data science projects following software engineering best practices.Map data to hypotheses, curate, wrangle, prepare data and feature engineering to be used in machine learning models.Design and develop the data and analytics platform selecting the right technologies for each problem at hand (big-data stack, SQL, no-SQL, etc.)Build modular pipeline to construct features and modelling tables.Build a sense of trust and rapport that creates a comfortable & effective workplace and experience in working as part of an agile squad.
Required Qualifications:
 Degree in computer science, engineering, mathematics, or equivalent experience 2+ years of previous commercial experience as a leader in a data-driven role2+ years of hands-on experience building data pipelines in production and ability to work across structured, semi-structured and unstructured data2+ years of experience in ML pipeline for streaming/batch workflow Ability to write clean, maintainable, and robust code in Python Understanding and expertise of software engineering concepts and best practicesKnowledge of testing frameworks and libraries Experience with analytics (descriptive, predictive, EDA), feature engineer, algorithms, anomaly detection, data quality assessment and python visualization libraries - e.g. matplotlib, seaborn or otherComfortable with notebook and source code development - Jupyter, Pycharm/VScodeHands-on experience of technologies like Python, Spark/Pyspark, Hadoop/MapReduce/HIVE, Pandas etc.Familiarity with query languages and database technologies, CI/CD, testing and validation of data and softwareTech stack and activities that you would use and preform on a daily basis;o Pythono Spark (PySpark) o Jupytero SQL and No-SQL DBMSo Git (as source code versioning and CI/CD)o Exploratory Data Analysis (EDA)o Imputation Techniqueso Data Linking / Cleansing o Feature Engineeringo Apache Airflow/ Jenkins scheduling and automation, Github and Github ActionsCollaborative - able to build strong relations that enable robust debate, and resolve periodic disagreements regarding priorities.Excellent interpersonal, and communication skillsAbility to communicate effectively with technical and non-technical audienceAbility to work under pressure with a solid sense for setting prioritiesAbility to lead technical work with strong sense of ownership Strong command of English language (both verbal and written)",https://www.linkedin.com/jobs/view/3433412350/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=6zESmv5%2BeztoWXA9l9hJmw%3D%3D&trk=d_flagship3_search_srp_jobs
Senior Node.js Developer,Unifi Solutions,"Cairo, Egypt",Full-time,"Job Title: Senior Node.js Developer Job Type: Full Time Job Location: On-Site - Nasr City, Egypt 
We are seeking senior-level candidates to join our team. We are looking for a Senior Node.js Developer who has experience building backend services.The ideal candidate will be asked to consider the possibility of relocating to the Malaysia branch within one year.=========================== Responsibilities Developing and maintaining all server-side network components. Collaborating with front-end developers. Ensure high-quality, reusable, and clean code. Documenting APIs and writing reports. Keeping informed of advancements in the field of Node.js development. =========================== Requirements At least two years experience in backend web development using Node.js. knowledge of JavaScript, web stacks, libraries, and frameworks. Experience in API design and development. Experience in microservices and containers technologies. Experience in Kubernetes. Knowledge in dealing with Database MySQL and MongoDB. Knowledge of data structures, system design, and algorithms. Knowledge in using Git and source control. Knowledge in event-driven architecture Superb interpersonal, communication, and collaboration skills. Great organizational and time management skills. ===========================Contact: hr@unifi.solutions Please include the job code in your email. Code: NJ-06-EG",https://www.linkedin.com/jobs/view/3476867187/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=V2aKXzOk3%2FIr1y6qX49UzA%3D%3D&trk=d_flagship3_search_srp_jobs
Senior Software Testing Engineer,Vosita,"Heliopolis, Cairo, Egypt",Full-time,"Vosita is a startup patient engagement company that offers an online patient booking platform and a provider directory that allows patients to search and book available in-office or telemedicine appointments in the USA.Vosita is a daughter company of the award-winning Microwize Inc., which has worked in the healthcare sector since 1997. We are looking for a full-time senior software testing engineer for immediate hire that will be working On-site. Our first and greatest priority is ownership. We want someone to see the company's vision and work with the team toward it.If it's just a job for you, you will not be a good fit for this position, especially since we are just releasing and need this can-do, will-do attitude for the long run.
Responsibilities:Analyzing users' stories and use cases/requirements for validity and feasibilityCollaborate closely with other team membersExecute all levels of testing (System, Integration, and Regression)Carry out stress testing, performance testing, functional testing, and scalability testingDesign and develop automation TEST scripts when neededExecute test cases (manual or automated) and analyze resultsDetect and track software defects and inconsistenciesProvide timely solutionsApply quality engineering principles throughout the Agile product lifecycleProvide support and documentationParticipating in design reviews and providing input on requirements, product design, and potential problems.Analyzing test results on database impacts, errors or bugs, and usability.Test in different environments, including web and mobileWrite bug reportsReview documentationWork towards departmental and project deadlinesDesign tests to mitigate riskCreate logs to document testing phases and defectsReport bugs and errors to development teamsConduct post-release/ post-implementation testingExperience with version control software such as GitGood working knowledge of programming languagesSQL experience and basic understanding of relational databases
Benefits:Competitive salarySocial insuranceVery good medical insuranceVery healthy working environmentWorking with Agile framework
Technical requirements:Work with cross-functional teams to ensure quality throughout the software development lifecycleMinimum five years of experience as a Software Tester or similar roleCritical thinking and problem-solving skillsAbility to handle multiple tasks simultaneouslyAbility to work in a fast-paced environmentworking knowledge of test management software (e.g., qTest, Zephyr) and SQLAnalytical mind and problem-solving aptitudeKnowledge of the Agile Scrum MethodologyWorking with Azure DevOps
Personal requirements:Having integrity towards the team and the workSense of ownership and pride in your performance and its impact on the company's successExcellent interpersonal and communication skillsTeam playerGood time-management skillsAttention to details",https://www.linkedin.com/jobs/view/3477015579/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=R8TIf7mQXDa3u%2B%2FyQP6%2FQw%3D%3D&trk=d_flagship3_search_srp_jobs
مطور لغة البرمجة,Serv5,"Al Manşūrah, Ad Daqahliyah, Egypt",51-200 employees,"The ideal candidate is a highly resourceful and innovative developer with extensive experience in the layout, design and coding of websites specifically in PHP format. You must also possess a strong knowledge of web application development using PHP programming language and MySQL Server databases.  ResponsibilitiesPerform a mix of maintenance, enhancements, and new development as required Work in a data analyst role and with business intelligence applications Document features, technical specifications & infrastructure Responsibilities Work cross-functionally to convert business needs into technical specifications
Qualifications3+ years' of experience in web development and software design Expertise in front-end technologies (HTML, JavaScript, CSS), PHP frameworks, and MySQL databases",https://www.linkedin.com/jobs/view/3477158136/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=iaZV5vqFeBD1N9lZqpd7uA%3D%3D&trk=d_flagship3_search_srp_jobs
Analyst / Senior Analyst – Business Intelligence & Operations [Bangkok Based],Agoda,"Giza, Al Jizah, Egypt",Full-time · Associate,"About Agoda
Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.
Get to Know our Team: 
Agoda is a travel booking platform and accommodation is at our core. As our accommodation partners are a key to our success, we work hard to ensure their success. That is why the Market Management team of Agoda’s Partner Services specializes in strategic account management. We serve as consultants, offering strategic advice on how best to excel on Agoda’s commercial platform. We are direct contributors to what makes Agoda one of the market leaders because we understand accommodation needs and offer innovative solutions. From Bangkok to New York and beyond, our team has footprints in over 50 locations around the world. With the help of industry-leading technology, we work and collaborate globally to bring together the best ideas from diverse perspectives. The Market Management team invests in long-term relationships that spans borders and cultures and results in incredible value for Agoda, our partners, and our customers.
The Opportunity:
You will be working alongside business stakeholders on operational innovations and projects that facilitate the availability of actionable data to drive strategic direction. You will be integral in the design and implementation of reliable and actionable business intelligence & automation solutions that enable improved efficiency and accuracy within the Partner Services Department.
In this role, you’ll get to: 
Identify and implement initiatives that drive operational efficiencies Design analytics tools and resources aiding process enablement and discovery of process risks Communicate insights to management Build business cases and get buy-in from stakeholders Lead project delivery Design and create data tools to automate manual processes Work directly with your stakeholders to gather business requirements Make data easily accessible for users through dashboards and report automation Drive self-service business intelligence by empowering users to adopt existing BI tools (Tableau, Metabase) Capitalize on data by transforming it into business insights which will contribute to making business decisions Optimize the flow of report generation 
What you’ll need to succeed:
Qualifications:
Working experience in Business Intelligence or Analytics roles Strong communication skills with high proficiency in Thai & English Strong SQL proficiency Adept in data analysis, deriving insights and MIS reporting Working knowledge of data visualization tools such as Tableau, Power BI etc. 
Skills:
You are a highly disciplined, proactive, innovative, and naturally inquisitive person. You are driven by achieving measurable, impactful results. You are able to prioritize your work based on business impact Ability to work well independently or as part of a team 
It’s great if you have:
A degree in Business Information Systems, Computer Science or Data Science Experience in managing process transformations/operational excellence programs Experience in tech, eCommerce, consultancy Working knowledge of statistical computer languages to perform advanced analytics and automation (Python, R)   #STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics power bi 
Equal Opportunity Employer 
At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.
We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .
To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",https://www.linkedin.com/jobs/view/3476856673/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=CawQO9kqwHFWZi%2Ba1Ec0fg%3D%3D&trk=d_flagship3_search_srp_jobs
"Senior C++ Software Engineer, Trilogy (Remote) - $200,000/year USD",Crossover,"Ţanţā, Al Gharbiyah, Egypt",Full-time · Mid-Senior level,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?
Every tech company is after JavaScript and Python programmers to power their enterprise platform development. At Trilogy, we acknowledge the tried-and-true power of low-level languages for obtaining high-performance applications. If you are a seasoned C++ developer with deep knowledge of systems programming, then we have an exciting opportunity for you.
Trilogy is a software platform that powers 100+ B2B SaaS products, and we are on a mission to build many more. Our products are carefully architected using simple, modular, high-quality code and cutting-edge AWS technologies, not to mention that our software engineers are real product experts. We give our engineers codebase ownership so they can solve the most demanding coding problems and deliver features without regressions.
In this role, you will constantly face new challenges, leveraging your C++ expertise to transform legacy on-prem products into cloud-native products or to build leading cloud-based engines from scratch. Our fast-paced environment is powered by an infrastructure that ships every merge and a broad range of technologies and products, enabling you to experience multiple products and learn at an unprecedented pace.
If you are looking for the ultimate learning and self-development opportunity, apply today!
What You Will Be Doing
Implementing new features on existing software products by solving complex implementation problems and making the appropriate technical decisions.Fixing bugs to permanently eliminate defects that impair product functionality.Reviewing code from other developers to ensure they meet strict code quality standards and will not cause a regression.
What You Won’t Be Doing
Working on a single product: Our engineers handle multiple codebases and technologies and work on multiple releases every year.Mindless code writing: Every code change must consider architectural implications.Managing projects or tasks: We have automated management overhead so you can focus entirely on software development.
Senior C++ Software Engineer key responsibilities
Deliver flawless features and bug fixes that make customers delighted with Trilogy products.
Basic Requirements
10+ years of C/C++ software development experienceExpertise in low-level and systems/network programmingExcited to work close to hardware and with critical infrastructure
About Trilogy
Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.
There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!
Working with Crossover
This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $100 USD/hour, which equates to $200,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.
What to expect next:
You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4821-EG-Ţanţā-SeniorC++Softw",https://www.linkedin.com/jobs/view/3471669511/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=mP6cLYMOBA5eyc0Du8CSWg%3D%3D&trk=d_flagship3_search_srp_jobs
كبير قسم المبيعات,ARG Real Estate Consultancy,"Cairo, Egypt",Full-time,"Join our sales team at ARG, You will achieve your dream  ARG Real Estate Company is #Hiring Now ( code 1-112 ) Senior property consultant expert in New capital  Sales team leader  Sales manager  with the following requirements: - Experience more than 1 year in the New capital - Graduated - Excellent Communication Skills - Very good English - Preferred, own a car   -Benefits : - Net Salary start from 6000 EGP + commission - mobile line  - laptop  -Career path -Supportive environment  -Working with a Professional Team  - Location: nasr city Hassan Elmamon street Near To El Manhal School  We are waiting for your CV to Email on ( hr@argrealestateco.com ) Or send your CV on WhatsApp at wa.me/0201140222338 Kindly Mention the Position ( code 1-112 ) and title in the Subject. #new_capital #ARG_you_dream_we_achieve",https://www.linkedin.com/jobs/view/3477160886/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=3iYG7rfNnhWkVe14g5zsQg%3D%3D&trk=d_flagship3_search_srp_jobs
: Manufacturing & Maintenance Engineer,Xylem,Egypt,Full-time · Entry level,"Description

Xylem |ˈzīləm|
 The tissue in plants that brings water upward from the roots; a leading global water technology company.
Xylem, a leading global water technology company dedicated to solving the world’s most challenging water issues, is the leading global provider of efficient, innovative and sustainable water technologies improving the way water is used, managed, conserved and re-used. Our international team is unified in a common purpose: creating advanced technology and other trusted solutions to solve the world’s water challenges. We are committed to creating an organization of inclusion and diversity, where everyone feels involved, respected, valued and connected, and where everyone is free to bring their authentic selves and ideas.

If you are excited and passionate about helping us #letssolvewater, we want to hear from you! For more information, please visit us at www.xylem.com .

We Offer You More Than Just “A Job”
 Professional Development – To advance the capabilities of our people, we offer a wide variety of experiences to support our employees’ professional growth and continuous learning. Total Rewards – We offer comprehensive programs for compensation, benefits, recognition, learning and development, work-life integration and corporate citizenship.  Watermark – Watermark is our corporate social responsibility program working to provide education and access to safe water to ensure healthy lives, gender equality, and resilient communities. Employees have the opportunity to learn and volunteer on various water-related projects. Employee Networks – Our Employee Networks provide a professional, supportive network for employees from diverse backgrounds, including Women’s, LGBT+ and Allies, Veteran’s, People of Color and Allies, Emerging Leaders, and Working Parents Networks. 
The Role:  Manufacturing & Maintenance Engineer 

PURPOSE OF THE POSITION

 

Through a local partnership, Xylem is in the process of establishing a production facility in Egypt, where selected product lines of the Xylem portfolio will be locally manufactured.

We are looking to hire a skilled maintenance engineer to install and maintain industrial equipment for our clients. As a maintenance engineer, you will be required to install new equipment, conduct routine maintenance, and troubleshoot equipment faults on site. You may also be required to remove old equipment and train staff on equipment operating procedures.

The Maintenance Engineer will be responsible for the installation and maintenance of industrial equipment such as those used in the aviation, medical, and manufacturing industry. Maintenance engineers perform routine equipment maintenance, troubleshoot issues, and make on-site repairs when needed.

To ensure success as a maintenance engineer, you should have extensive knowledge of industrial equipment, the ability to work well under pressure and demonstrate high-level problem-solving skills. An outstanding maintenance engineer should be able to service, troubleshoot, and repair equipment without causing extended equipment downtime.

JOB OBJECTIVE

Main Goals Are
Working closely with safety, quality and production team on problem solving and providing technical solution for machine selectionSelecting equipment & tooling according to safety guidelines, quality requirements, and productivity targetsPlanning for maintenance activities, inspecting equipment and conducting routine maintenance.Reporting performance indicators and compliance to maintenance planManaging tooling and equipment calibration according to planServicing and replacing old or faulty equipmentTroubleshooting equipment malfunctionsSubmitting business cases for old machinery & utilities replacement versus refurbishment Leading new machine & utility installation, proving technical support and training on new equipmentDeveloping detailed layout for equipment, process, workflow and implementing layout changes based on safety and productivity requirements Documenting activities related to EM & PM, then perform analysis for spare parts planningResponding to customer calloutsAdhering to all safety and performance regulations
KEY RELATIONSHIPS

Internal: reporting sales companies, regional management, HQ management, Tiba

External: customers, distributors, consultants, industry governing authorities & regulators

Required Skills / Education / Qualifications

 
 5+ years’ experience in manufacturing environment. Experience in CNC, cranes, , and other utilities equipment’s, with excellent knowledge in electrical and mechanical troubleshooting Proven work experience as a maintenance engineer. Knowledge of EPA and OSHA guidelines. Advanced knowledge of mechanical, electrical, plumbing, and heating systems. Ability to read system schematics. Understanding of safety and equipment procedures. Key competencies: Driving for results, managing through systems, problem solving, communication, composure and time management skills Ability to tolerate high level of stress Fluent Arabic speaker. Good command of English language both spoken and written.",https://www.linkedin.com/jobs/view/3391797941/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=Q3HeYO7d8raqNGuWb%2FJnLQ%3D%3D&trk=d_flagship3_search_srp_jobs
Store Development Specialist (Architect PM),adidas,"Cairo, Cairo, Egypt",Full-time,"Purpose & Overall Relevance For The Organization

To Support roll-out plans and set up of Retail Sales Matrix solutions for key & field Accounts, franchise, and own retail. This role is responsible for assisting in maximizing the profitability of the market retail portfolio across brand adidas by managing ongoing investments for Store Development & assuring standards are kept during store development lifecycle.

Key Responsibilities
 Support in Identifying SIS and Franchise opportunities and partners jointly with Store Development manager & sales managerSupport in Providing business cases and drive the decision process related to new stores, renovations, pop-ups, etc. Support in Managing the set-up and the implementation of new stores & SIS standard collaboration models by coordinating all involved functions.Assess and advise how to improve performance of Store development processes and solutions and provide feedback to stakeholders.Support in new store setup, SIS and processes including renovation, maintenance & IT/window related matters.Assist store Development manager to Create with finance BPM and manage project budget forecast from approval through to completion.Follow up all local approvals & municipality approval if needed.Support in Managing and maintaining vendor relationships and performance including negotiation, procurement, warranties, and vendor rebate collection.Facilitate information flow between 3rd party vendors, internal retail departments and global counterparts.Help manage and maintain standards and relationships with global, EM and MENA store Development team.Manage multiple implementation projects within MENA at various stages of implementation.Support store development manager (Egypt) and other Project Managers across the MENA region to Manage & sign off all installations & provide documentation with required detail. Initiate reverse logistics of excess equipment and manage all stores opening from timeline to the opening stage. Support in Providing Market Forecast (CoE) team. Order Store Concept Hardware. Place orders in line with required lead time to assure in time fulfillment ready for flawless implementation.Measure progress on own KPI’s related to BPM accuracy.Manage the storage of all fitting accessories related to store/Shop in Shop.
Key Relationships
Global: Store DevelopmentRegional: Store Development EMLocal: Store development manager, DTC, Sales, SCM, and Finance
KPIs
NSBPM projects cost complianceProjects delivery lead-time
Requisite Education And Experience / Minimum Qualifications
University degree ideally with projects management focus4-5 Years of overall work experience In Retail projects.Exposure –strategic planning and process re-design
IT Skills
AutoCAD : AdvancedOutlook : AdvancedWord : BasicExcel : AdvancedPower Point : Advanced
Language Skills
English : AdvancedArabic: Advanced",https://www.linkedin.com/jobs/view/3476631703/?alternateChannel=search&refId=Sa3sMMW%2Foi%2FuDwOzvlpApw%3D%3D&trackingId=tAykm%2BEJjBS1e5AeOa3ckg%3D%3D&trk=d_flagship3_search_srp_jobs
